run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251224-083552_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.6161637676720002,0.08124383751199638,0.2,0.5,0.5
20251224-083636_seed2_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.6168937662120004,0.08245383509199611,0.2,0.5,0.5
20251224-083720_seed3_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.5573828852339997,0.0226029547939951,0.2,0.5,0.5
20251224-083804_seed4_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.5919808160380001,0.05708088583799609,0.2,0.5,0.5
20251224-083848_seed5_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.57463485073,0.03969492060999602,0.2,0.5,0.5
20251224-083932_seed6_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.6120637758720016,0.07704384591199742,0.2,0.5,0.5
20251224-084016_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.5946268107460018,0.059846880305998384,0.2,0.5,0.5
20251224-084100_seed8_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.6144117711760011,0.07937184125599706,0.2,0.5,0.5
20251224-084145_seed9_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.6171457657080006,0.0827058345879963,0.2,0.5,0.5
20251224-084229_seed10_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.6139477721040009,0.07816784366399732,0.2,0.5,0.5
20251224-084313_seed11_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,100,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.6016757966480014,0.06623586752799737,0.2,0.5,0.5
20251224-084357_seed12_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.6176757646480006,0.08243583512799735,0.2,0.5,0.5
20251224-084441_seed13_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.6167107665780003,0.08139083721799656,0.2,0.5,0.5
20251224-084526_seed14_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5798858402279999,0.04524590950799612,0.2,0.5,0.5
20251224-084610_seed15_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.6142137715720006,0.07929384141199636,0.2,0.5,0.5
20251224-084655_seed16_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.612182775634001,0.0777428445139976,0.2,0.5,0.5
20251224-084739_seed17_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,100,0.1,0.05,90,0.0,0.0,20,3,0.534759930480004,0.6191517616960007,0.0843918312159967,0.2,0.5,0.5
20251224-084823_seed18_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,100,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.5984238031520015,0.06444387111199745,0.2,0.5,0.5
20251224-090816_seed19_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.6126737746520006,0.07813384373199694,0.2,0.5,0.5
20251224-090900_seed20_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,100,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.6114397771200013,0.07643984711999696,0.2,0.5,0.5
